;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
306;REPROVADO;606187e0dfc21c1f377ad6df3a68e274;0.0;92127264.0;1239413;3.0;2.5;10.0;f;2.0
307;REPROVADO;606187e0dfc21c1f377ad6df3a68e274;0.0;92127264.0;1239413;3.0;2.70000005;10.0;f;3.0
308;REPROVADO POR MÉDIA E POR FALTAS;df3fe5fa65b9246dccb1efe743607b21;0.0;2000013.0;1239413;0.3;0.800000012;44.0;f;1.0
309;REPROVADO POR MÉDIA E POR FALTAS;df3fe5fa65b9246dccb1efe743607b21;0.0;2000013.0;1239413;0.3;0.200000003;44.0;f;2.0
310;REPROVADO POR MÉDIA E POR FALTAS;df3fe5fa65b9246dccb1efe743607b21;0.0;2000013.0;1239413;0.3;0.0;44.0;f;3.0
311;EXCLUIDA;df3fe5fa65b9246dccb1efe743607b21;;2000013.0;1239413;;;;;
312;CANCELADO;06157179e0dafa263929fd2a962ced56;;2000013.0;1239413;;;;;
313;EXCLUIDA;06157179e0dafa263929fd2a962ced56;;2000013.0;1239413;;;;;
314;EXCLUIDA;9fab264022905965335b7bc3964f7ed1;;92127264.0;1239413;;;;;
315;EXCLUIDA;606187e0dfc21c1f377ad6df3a68e274;;92127264.0;1239413;;;;;
316;EXCLUIDA;59d9aee9a3b15f0b735e28fe4a692a8e;;92127264.0;1239413;;;;;
317;REPROVADO POR MÉDIA E POR FALTAS;49f2cf9cba9f712bc1ffeddd47b8907f;0.0;92127264.0;1239413;2.3;0.0;24.0;f;3.0
318;REPROVADO POR MÉDIA E POR FALTAS;49f2cf9cba9f712bc1ffeddd47b8907f;0.0;92127264.0;1239413;2.3;7.0;24.0;f;1.0
319;REPROVADO POR MÉDIA E POR FALTAS;49f2cf9cba9f712bc1ffeddd47b8907f;0.0;92127264.0;1239413;2.3;0.0;24.0;f;2.0
