,id_turma,codigo,nome_ascii,docente_interno,docente_externo,nivel_ensino,ano,periodo,capacidade_aluno,local,data_inicio,data_fim,codigo_turma,descricao_horario,observacao,distancia,tipo,data_consolidacao,agrupadora,qtd_aulas_lancadas,situacao_turma,convenio,modalidade_participantes,campus_turma,Unnamed: 24
5758,57597731,IMD0030,LINGUAGEM DE PROGRAMACAO I,07fccd8ae318c5d35556f21887d7f3be,,GRADUAÇÃO,2017,1,32.0,A304,2017-02-13,2017-07-01,04,35N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-08 18:23:29.886,f,74.0,CONSOLIDADA,,Presencial,Campus Central,
5973,57597912,IMD0033,PROBABILIDADE,87072c9b80635e28a644e36524e20104,,GRADUAÇÃO,2017,1,60.0,A308,2017-02-13,2017-07-01,01,24M12 (13/02/2017 - 01/07/2017),,f,1,2017-06-26 14:05:34.656,f,66.0,CONSOLIDADA,,Presencial,Campus Central,
5974,57597913,IMD0033,PROBABILIDADE,117eb3d847f2ecfebf4034714b820ffa,,GRADUAÇÃO,2017,1,41.0,A305,2017-02-13,2017-07-01,02,26N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-07 03:25:09.742,f,66.0,CONSOLIDADA,,Presencial,Campus Central,
5983,57597922,IMD0038,FUNDAMENTOS MATEMATICOS DA COMPUTACAO II,5258ff44921100de32b56af4b06edf2d,,GRADUAÇÃO,2017,1,60.0,A308,2017-02-13,2017-07-01,01,246T56 (13/02/2017 - 01/07/2017),,f,1,2017-07-06 15:40:14.841,f,110.0,CONSOLIDADA,,Presencial,Campus Central,
5988,57597928,IMD0038,FUNDAMENTOS MATEMATICOS DA COMPUTACAO II,5258ff44921100de32b56af4b06edf2d,,GRADUAÇÃO,2017,1,60.0,A308,2017-02-13,2017-07-01,02,246N12 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 19:56:59.837,f,110.0,CONSOLIDADA,,Presencial,Campus Central,
5995,57597936,IMD0039,ESTRUTURAS DE DADOS BASICAS II,c2e348d77da6cc2e7b06c1c1f8e7bc0a,,GRADUAÇÃO,2017,1,40.0,A306,2017-02-13,2017-07-01,01,35M12 (13/02/2017 - 01/07/2017),,f,1,2017-07-06 20:26:42.852,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
6000,57597941,IMD0039,ESTRUTURAS DE DADOS BASICAS II,45eba6e11093aff6e48e63d8f2b22f15,,GRADUAÇÃO,2017,1,50.0,A306,2017-02-13,2017-07-01,02,35N12 (13/02/2017 - 01/07/2017),,f,1,2017-06-24 11:03:41.831,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
6001,57597942,IMD0040,LINGUAGEM DE PROGRAMACAO II,1dcd17a76e0e8b7795b9a6e3cac38fe4,,GRADUAÇÃO,2017,1,40.0,A305,2017-02-13,2017-07-01,01,35M34 (13/02/2017 - 01/07/2017),,f,1,2017-06-30 14:52:03.847,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
6021,57597962,IMD0040,LINGUAGEM DE PROGRAMACAO II,1e8a6afe56fd042c88bdd640ecccb76c,,GRADUAÇÃO,2017,1,40.0,A309,2017-02-13,2017-07-01,02,35N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-04 08:44:29.939,f,74.0,CONSOLIDADA,,Presencial,Campus Central,
6022,57597963,IMD0041,INTRODUCAO A ORGANIZACAO E ARQUITETURA DE COMPUTADORES,484f8ed286ef77fb17f8d098d0d74aaf,,GRADUAÇÃO,2017,1,46.0,A305,2017-02-13,2017-07-01,01,24T34 (13/02/2017 - 01/07/2017),,f,1,2017-07-05 23:47:19.38,f,72.0,CONSOLIDADA,,Presencial,Campus Central,
6024,57597965,IMD0041,INTRODUCAO A ORGANIZACAO E ARQUITETURA DE COMPUTADORES,1bdea8243ef16fea3d6976aa97306053,,GRADUAÇÃO,2017,1,43.0,A309,2017-02-13,2017-07-01,02,24N34 (13/02/2017 - 01/07/2017),,f,1,2017-07-03 16:11:27.442,f,74.0,CONSOLIDADA,,Presencial,Campus Central,
